rn,user_link,net_token_amount,shares_amount,avg_price,avg_price_usd,per_of_total_share,per_of_total_share_cum
144,"<a href=https://debank.com/profile/0x251cee96ad54ea38f55d2445cb25b3f480ba4e95 target=_blank"">0x251cee96ad54ea38f55d2445cb25b3f480ba4e95</a>",3.5,76329.40798020182,4.5853886367202315e-05,0.11527437763282825,0.0019456086000008619,0.6381352550174441
119,"<a href=https://debank.com/profile/0x71bd7c3c2ef6e5c20ee356e287254491f8c8bd56 target=_blank"">0x71bd7c3c2ef6e5c20ee356e287254491f8c8bd56</a>",4.138663205132373,75358.57956541289,5.491960210767936e-05,0.13806513371860052,0.0019208625399576807,0.6400561175574018
127,"<a href=https://debank.com/profile/0xcd041ba479812a3fb310f9553ce57830cb2e351d target=_blank"">0xcd041ba479812a3fb310f9553ce57830cb2e351d</a>",4,74941.71490563444,5.337481274663576e-05,0.13418161050440497,0.001910236812750262,0.641966354370152
115,"<a href=https://debank.com/profile/0xda93f8e08c439d7ffe77e0bce1ca6a8ab153d35b target=_blank"">0xda93f8e08c439d7ffe77e0bce1ca6a8ab153d35b</a>",4.228318030388107,74730.71234236921,5.6580726957567436e-05,0.14224111853497662,0.001904858434840957,0.643871212804993
112,"<a href=https://debank.com/profile/0x33c821a01cfadb52b91e8c6454fc3e4ff322212d target=_blank"">0x33c821a01cfadb52b91e8c6454fc3e4ff322212d</a>",4.25,74123.902679558,5.7336430575883204e-05,0.14414091964624157,0.0018893910792073937,0.6457606038842004
155,"<a href=https://debank.com/profile/0x568e5e0536a1066cbec1ba7547aea924eb65fc3e target=_blank"">0x568e5e0536a1066cbec1ba7547aea924eb65fc3e</a>",3,73524.44297735963,4.0802757267046406e-05,0.10257609163149131,0.0018741110713727514,0.6476347149555731
116,"<a href=https://debank.com/profile/0x9e438323704871ecd378d32ec601e964856346e3 target=_blank"">0x9e438323704871ecd378d32ec601e964856346e3</a>",4.2042286606189645,73332.7591223951,5.733083973564871e-05,0.14412686455343407,0.0018692251202489455,0.649503940075822
114,"<a href=https://debank.com/profile/0x6dc5351381b082fe5e1ca6e5c3666a7f6a4d9c03 target=_blank"">0x6dc5351381b082fe5e1ca6e5c3666a7f6a4d9c03</a>",4.24,72444.80224184523,5.852731830015144e-05,0.14713475184066568,0.001846591425203441,0.6513505315010255
120,"<a href=https://debank.com/profile/0x3822bbbd588fe86964c7751d6c6a6bd010927307 target=_blank"">0x3822bbbd588fe86964c7751d6c6a6bd010927307</a>",4.132038440555821,71493.27780669196,5.779618122599285e-05,0.1452967097930847,0.001822337416517492,0.653172868917543
141,"<a href=https://debank.com/profile/0xb6eb9d83fcbdb067efb8c2d8a4e0b8c77547d281 target=_blank"">0xb6eb9d83fcbdb067efb8c2d8a4e0b8c77547d281</a>",3.5,71470.29276586992,4.897139587024887e-05,0.12311164064801214,0.0018217515362614009,0.6549946204538044
128,"<a href=https://debank.com/profile/0x71e971332ffdc0200009227ea74510bd60fb51a7 target=_blank"">0x71e971332ffdc0200009227ea74510bd60fb51a7</a>",4,71122.41605725643,5.62410590323568e-05,0.14138721035439336,0.0018128842866137428,0.6568075047404182
146,"<a href=https://debank.com/profile/0x1cc972ff969689873f8010bdd0cf3dc30618397e target=_blank"">0x1cc972ff969689873f8010bdd0cf3dc30618397e</a>",3.4066439990819237,70607.01216359832,4.8247955758114206e-05,0.1212929483781112,0.0017997468304941401,0.6586072515709123
156,"<a href=https://debank.com/profile/0x9f49eb2d0d0c3065357b2deb39c18aca1b4cc2b9 target=_blank"">0x9f49eb2d0d0c3065357b2deb39c18aca1b4cc2b9</a>",3,68993.69996011771,4.3482231011442656e-05,0.10931215465121626,0.001758624094439481,0.6603658756653518
148,"<a href=https://debank.com/profile/0x201cc0cc1429792b66a4b28e69883d77a79790e1 target=_blank"">0x201cc0cc1429792b66a4b28e69883d77a79790e1</a>",3.31,68249.31845407025,4.849865280673141e-05,0.12192318822348241,0.0017396500830044236,0.6621055257483562
136,"<a href=https://debank.com/profile/0xc9aef7014b9c65f567d8bc8c8b3218b0a1ec12b7 target=_blank"">0xc9aef7014b9c65f567d8bc8c8b3218b0a1ec12b7</a>",3.66,66225.82453754527,5.526545008020314e-05,0.13893457822912667,0.0016880719656022607,0.6637935977139585
118,"<a href=https://debank.com/profile/0x158d56f578b0ae28dbbd98446e4f3991ec00de4c target=_blank"">0x158d56f578b0ae28dbbd98446e4f3991ec00de4c</a>",4.181770278856667,66190.24814076432,6.317804202763303e-05,0.15882643875536803,0.0016871651363032309,0.6654807628502617
157,"<a href=https://debank.com/profile/0x83b537242fdbe7bdcd6a49adbfc406fcee70687d target=_blank"">0x83b537242fdbe7bdcd6a49adbfc406fcee70687d</a>",3,66106.0754630191,4.538160795339081e-05,0.1140870933144268,0.001685019605635042,0.6671657824558967
129,"<a href=https://debank.com/profile/0x476bf48fc7d5b6ec4734f6ebec54d01cdf9c8dcb target=_blank"">0x476bf48fc7d5b6ec4734f6ebec54d01cdf9c8dcb</a>",4,65754.45195670746,6.083238291809638e-05,0.15292956903694838,0.0016760568514889622,0.6688418393073857
135,"<a href=https://debank.com/profile/0xa62e69492d7ca8944939b320c34bef078bd1f4db target=_blank"">0xa62e69492d7ca8944939b320c34bef078bd1f4db</a>",3.7,65448.58244660863,5.653292801289273e-05,0.14212095437801167,0.0016682603499167151,0.6705100996573025
137,"<a href=https://debank.com/profile/0x4ec2dcdfb3c165da62dd1367cb42fe7551524984 target=_blank"">0x4ec2dcdfb3c165da62dd1367cb42fe7551524984</a>",3.6,65272.037756414094,5.515378596627678e-05,0.13865386022992152,0.0016637602905475127,0.67217385994785
158,"<a href=https://debank.com/profile/0x3ca491db378a70cf3a201533c7993c0c8593f111 target=_blank"">0x3ca491db378a70cf3a201533c7993c0c8593f111</a>",3,64546.59388939306,4.6478052817795396e-05,0.11684350088129672,0.001645268992581988,0.6738191289404319
159,"<a href=https://debank.com/profile/0x7a166f2fe92551d6058777367634ac0d471c9c80 target=_blank"">0x7a166f2fe92551d6058777367634ac0d471c9c80</a>",3,62873.17582823716,4.7715102036450035e-05,0.11995338076453356,0.0016026141802712968,0.6754217431207032
139,"<a href=https://debank.com/profile/0x988dc1a6cd74ec7d79255de9ff4f442cd52ca83c target=_blank"">0x988dc1a6cd74ec7d79255de9ff4f442cd52ca83c</a>",3.512163381643265,62444.71735475023,5.62443635014082e-05,0.1413955176243651,0.0015916929310068504,0.67701343605171
